ID;Nazev;Kategorie;Cena;Puvodni_cena;Skladem
207;Rose bear, mentolový medvídek z růží 17 cm;Medvídci z růží;1090;;Ne
2372;Svíčka sójová v betonu, Santalové dřevo a mořská sůl;Přírodní svíčky;319;;Ano
2403;Rose bear, hnědý medvídek se svícnem 17 cm;Medvídci z růží;990;;Ano
2409;Rose bear, žíhaný medvídek z růží 25 cm;Medvídci z růží;1290;;Ano
2498;Fotorámeček dub;Bytové dekorace;790;;Ne
2501;Fotorámeček ořech;Bytové dekorace;790;;Ne
2504;Macramé lev;Bytové dekorace;750;950;Ne
2543;Macramé koala;Bytové dekorace;750;950;Ano
2545;Macramé panda;Bytové dekorace;750;950;Ano
2547;Macramé zajíc;Bytové dekorace;750;950;Ano
2549;Macramé jednorožec;Bytové dekorace;750;950;Ano
2568;Macramé vánoční stromeček;Vánoční dekorace;130;;Ne
2570;Macramé vánoční věnec jingle bell;Vánoční dekorace;110;;Ne
2572;Macramé vánoční věnec;Vánoční dekorace;110;;Ne
2574;Macramé vánoční věnec s dřevěným korálkem;Vánoční dekorace;110;;Ne
2576;Macramé vánoční hvězda;Vánoční dekorace;130;;Ne
2578;Macramé vánoční skořice;Vánoční dekorace;110;;Ne
2580;Macramé vánoční andílek;Vánoční dekorace;130;;Ne
2582;Makramé vánoční srdce;Vánoční dekorace;110;;Ne
2584;Macramé gobelín;Bytové dekorace;590;;Ano
2586;Macramé sova;Bytové dekorace;890;;Ano
2588;Macramé prostírání srdce;Bytové dekorace;450;550;Ano
2879;Macramé dekorace praporky;Bytové dekorace;350;;Ne
2886;Rose bear, červený medvídek z růží 25 cm;Medvídci z růží;1590;;Ano
2888;Rose bear, bordó medvídek z růží 25 cm;Medvídci z růží;1590;;Ano
2918;Rose bear, bílý medvídek z růží 35 cm;Medvídci z růží;2790;;Ano
2920;Rose bear, bordó medvídek z růží 23 cm;Medvídci z růží;1540;;Ano
2938;Makramé vánoční dekorace v balení;Vánoční dekorace;550;;Ano
2964;Macramé stropní stínidlo;Bytové dekorace;1490;;Ano
2975;Macramé vánoční rolnička;Vánoční dekorace;110;;Ne
2984;Macramé list;Bytové dekorace, Vánoční dekorace;110;;Ne
2986;Macramé vánoční dekorace v balení;Vánoční dekorace;550;;Ne
3632;Tác a zhasínadlo Red bronze;Bytové dekorace, Přírodní svíčky;350;;Ne
3636;Tác a zhasínadlo Antique bronze;Bytové dekorace, Přírodní svíčky;350;;Ne
3668;Čajové svíčky sójové, aromatické, vánoční;Přírodní svíčky;199;;Ne
3676;Vosk sójový do aromalampy, vůně Prosecco Rose;Přírodní svíčky;199;;Ne
3723;Rose bear, červený medvídek z růží 35 cm;Medvídci z růží;2490;;Ano
4171;Kostka na čajové svíčky světlá;Bytové dekorace;790;;Ne
4173;Kostka na čajové svíčky tmavá;Bytové dekorace;790;;Ne
4178;Macramé závěsný držák;Bytové dekorace;350;;Ano
4182;Macramé závěsný držák;Bytové dekorace;350;;Ano
4223;Zhášedlo černé flammel;Přírodní svíčky;229;;Ne
4225;Nůžky na zkracování knotu;Přírodní svíčky;229;;Ne
4227;Náhrdelník s minerálním kamenem křišťál;Stylové šperky;210;;Ano
4445;Macramé náramek s minerálním kamenem křišťál;Stylové šperky;109;;Ne
4456;Partnerské náramky z minerálních kamenů;Stylové šperky;425;;Ne
4460;Šňůrkový náhrdelník s minerálním kamenem růženín;Stylové šperky;165;;Ano
4493;Náhrdelník srdce s minerálními kameny;Stylové šperky;345;;Ano
4532;Náramek s minerálním kamenem howlit;Stylové šperky;89;;Ne
4534;Náramek s minerálním kamenem avanturín;Stylové šperky;89;;Ne
4540;Náramek s minerálním kamenem akvamarín;Stylové šperky;89;;Ne
4799;Macramé klíčenka Turk´s head;Stylové šperky;85;;Ne
4801;Macramé klíčenka Turk´s head;Stylové šperky;85;;Ne
4803;Macramé klíčenka Turk´s head;Stylové šperky;85;;Ne
4806;Háčkovaný košík 25 cm levandulový;Trendy háčkování;499;;Ano
4828;Háčkovaný košík 25 cm v barvě cappuccino;Trendy háčkování;489;;Ano
4830;Háčkovaný košík 25 cm v barvě mokka;Trendy háčkování;489;;Ano
4832;Háčkovaný košík 20 cm levandulový;Trendy háčkování;429;;Ano
4834;Háčkovaný košík-tác-podnos 25 cm v barvě mokka;Trendy háčkování;449;;Ano
4836;Háčkovaný košík 20 cm v barvě mokka;Trendy háčkování;429;;Ano
4838;Svíčka sójová, Sladká dýně;Přírodní svíčky;339;;Ne
4841;Svíčka sójová, Vánoční věnec;Přírodní svíčky;339;;Ne
4900;Svíčka sójová, Levandule a heřmánek;Přírodní svíčky;339;;Ne
4903;Svíčka sójová, Alien Invasion;Přírodní svíčky;339;;Ne
4906;Macramé náramek kohout a podkova;Stylové šperky;159;;Ne
5002;Svíčka sójová, Earl Grey čaj a okurka;Přírodní svíčky;339;;Ne
5039;Svíčka sójová, Prosecco Rose;Přírodní svíčky;339;;Ne
5101;Macramé náramek medailonek Panna Marie;Stylové šperky;159;;Ne
5118;Nůžky na zkracování knotu;Přírodní svíčky;229;;Ne
5134;Svíčka sójová, Tmavý med a tabák;Přírodní svíčky;339;;Ne
5204;Sada bílých náramků Srdce;Stylové šperky;195;;Ne
5206;Černý set náramků Kruh;Stylové šperky;255;;Ne
5225;Náhrdelník andílek - křišťál a onyx;Stylové šperky;95;;Ne
5261;Kožený náramek s minerálními kameny - růženín a křišťál;Stylové šperky;255;;Ne
5271;Kožený náramek - minerální kameny akvamarín a křišťál;Stylové šperky;255;;Ne
5275;Kožený náramek - minerální kameny křišťál;Stylové šperky;255;;Ne
5293;Zhášedlo růžové flammel;Přírodní svíčky;229;;Ne
5321;Macramé vánoční dekorace věnec;Vánoční dekorace;110;;Ne
5326;Růžový set náramků;Stylové šperky;219;;Ne
5446;Svíčka sójová, Pivoňka;Přírodní svíčky;339;;Ne
5640;Svíčka sójová, Jahodový dortík se šlehačkou;Přírodní svíčky;339;;Ne
